seed,control,centered_window,same_session,retrospective_threshold,survivorship_selection_50
1000,0.2026275259,3.0605534302,21.0852092188,0.2033807093,0.5625602707
1001,-0.0958641835,2.9687010254,20.9472967049,0.2522319866,0.6544700994
1002,-0.0159868321,2.6325995553,20.7118948199,0.0073310111,0.5865228642
1003,0.0496275879,2.2531009657,21.1361406577,0.1889529692,0.5652577555
1004,0.0682705804,2.7909544572,21.1303049900,0.1519973357,0.4389207407
1005,0.3115685650,2.7858189821,21.3235230415,0.3049091322,0.6239846459
1006,0.0088289250,2.7778623229,21.5620704066,0.3461208206,0.5346546465
1007,-0.0328400795,2.9026877291,21.3749734234,0.1111930890,0.4883923113
1008,0.1253444146,3.0415455274,21.1725368490,0.6530211110,0.4742177778
1009,-0.0375804422,2.8708001901,20.9425810002,0.4719681368,0.4667859565
1010,-0.2154574730,2.8557818056,21.3108456736,0.0133212627,0.5024049645
1011,0.0569747585,2.9811623199,20.9488493264,0.3017385866,0.4308484972
1012,0.0243363715,2.5142821024,20.8417817209,-0.0769357903,0.4104268961
1013,-0.5394474429,2.4511585573,21.4973676068,-0.4205573635,0.6005936951
1014,-0.0988548997,2.7206589795,21.0292177032,0.1064913600,0.4605984152
1015,-0.0986086486,2.7459029821,21.3895242554,0.0547484391,0.9197707993
1016,0.0200262790,2.6974180248,21.0230580097,-0.0003648755,0.6042248803
1017,-0.0760953155,2.7288035595,21.2043743687,0.0314990740,0.4492848972
1018,0.2281576952,2.6078736327,20.6475478117,0.3580781525,0.5720968461
1019,-0.2238135553,2.3597289546,20.8493670490,-0.0847848660,0.5698604598
1020,-0.0351159452,2.9059297825,21.4607053767,0.0087162780,0.6237783437
1021,0.2777718434,2.7471459966,21.0268402841,0.4506626292,0.5174857384
1022,-0.0867920966,2.8181944006,21.1501509239,0.2870520090,0.5578042635
1023,0.2321907514,3.0907413245,21.7081226189,0.5074272744,0.4478186209
1024,0.3856674538,3.0523198666,21.0594096707,0.2403511458,0.5270546433
1025,0.2586913321,2.6729578625,21.3528827738,0.2041531041,0.3281088555
1026,0.1627473269,2.7621610258,21.3120407836,0.2855787367,0.4212769538
1027,-0.2312228567,2.8319577805,20.6662021881,0.1478764911,0.4122600876
1028,0.5140727789,2.8233020802,20.5505101051,0.4202068250,0.3382098521
1029,-0.0758874031,3.0411940506,21.2288749791,0.0511782024,0.7486816755
1030,0.1171814840,2.7003743653,20.8271880894,0.2753171906,0.8106058919
1031,-0.0927045592,2.6132907363,20.6530627064,0.5188270879,0.6432468129
1032,0.0647785473,2.6589915716,21.1480982293,0.1747522314,0.5663174740
1033,0.4114272373,3.2757531962,20.5627577588,0.4458709813,0.5305506463
1034,0.0892438114,2.9012618635,20.6019577495,0.1309309095,0.6538373559
1035,-0.0975409319,2.5360122088,20.9201592309,-0.0206430285,0.6404938327
1036,0.1943070834,2.7490413808,21.0783851769,0.3440880202,0.3950197910
1037,0.3860101723,3.0074808630,20.9727191294,0.5404523183,0.4683941172
1038,-0.3106905687,2.8603495116,20.8914598793,0.0396271695,0.3810057980
1039,0.2184415669,2.6811817669,20.8940938535,0.1525578623,0.6402014793
1040,-0.1526752428,2.2079976407,20.8375355892,0.3776745005,0.5091099397
1041,-0.2332788464,2.7541726258,20.7299011689,0.2237063891,0.4886677192
1042,-0.2955286513,2.7865176410,20.8180594608,0.0898925345,0.6477299837
1043,-0.1414121069,2.9649481161,21.2194159175,0.1190107748,0.5539605394
1044,-0.2009235195,3.0798630372,20.9187176952,0.2589183734,0.6064205931
1045,0.2250755100,2.7698311425,21.1826676224,0.3232147167,0.5356652174
1046,0.0542515611,2.8396796157,21.2200945806,0.1293963335,0.3956149763
1047,-0.3781771237,2.4559300747,20.5591842492,0.0098534671,0.5873834326
1048,0.5669278566,3.4621011826,20.9348365471,0.6298366060,0.6602992760
1049,0.0412366628,2.4387133086,20.9210448543,-0.1669789179,0.4685688222
1050,-0.2673043200,2.6519862047,21.1673858631,-0.1521263881,0.4449952337
1051,-0.1718931221,2.5517203581,20.6658506665,-0.1944729292,0.6953455662
1052,0.1587572140,3.0108260385,21.2660782315,0.0961794508,0.5797194065
1053,-0.0922277968,2.8302215808,20.5521256344,0.0647738453,0.5458103133
1054,-0.1037005099,3.0509763058,20.9120399526,0.0415609194,0.6051771910
1055,-0.0230813952,2.6848262018,20.8946310608,0.1752684490,0.6469316804
1056,0.4252992193,3.0102544086,21.1468402275,0.4384006917,0.5640638501
1057,-0.0043310091,3.0142127724,20.8157174381,0.3172593978,0.6075709822
